10	1957.12
1010	2061.44
2010	2095.69
3010	2119.77
4010	2138.95
5010	2155.15
6010	2169.32
7010	2181.99
8010	2193.51
9010	2204.10
10010	2213.94
11010	2223.14
12010	2231.80
13010	2240.00
14010	2247.78
15010	2255.20
16010	2262.30
17010	2269.10
18010	2275.65
19010	2281.96
20010	2288.05
21010	2293.94
22010	2299.65
23010	2305.18
24010	2310.56
25010	2315.79
26010	2320.88
27010	2325.85
28010	2330.69
29010	2335.42
30010	2340.04
31010	2344.56
32010	2348.99
33010	2353.32
34010	2357.57
35010	2361.73
36010	2365.82
37010	2369.83
38010	2373.76
39010	2377.63
40010	2381.44
41010	2385.18
42010	2388.86
43010	2392.49
44010	2396.05
45010	2399.57
46010	2403.03
47010	2406.44
48010	2409.81
49010	2413.12
50010	2416.40
51010	2419.63
52010	2422.82
53010	2425.96
54010	2429.07
55010	2432.14
56010	2435.17
57010	2438.17
58010	2441.13
59010	2444.06
60010	2446.96
61010	2449.82
62010	2452.65
63010	2455.46
64010	2458.23
65010	2460.97
66010	2463.69
67010	2466.38
68010	2469.04
69010	2471.67
70010	2474.28
71010	2476.87
72010	2479.43
73010	2481.97
74010	2484.48
75010	2486.98
76010	2489.45
77010	2491.90
78010	2494.32
79010	2496.73
80010	2499.12
81010	2501.49
82010	2503.83
83010	2506.16
84010	2508.47
85010	2510.76
86010	2513.04
87010	2515.29
88010	2517.53
89010	2519.75
90010	2521.96
91010	2524.15
92010	2526.32
93010	2528.48
94010	2530.62
95010	2532.75
96010	2534.86
97010	2536.96
98010	2539.04
99010	2541.11
